x,y,z,density,distance
0,0,0,0.0,7.3484692283495345
0,0,1,0.2539682686328888,6.708203932499369
0,0,2,0.0,6.164414002968976
0,0,3,-0.2539682686328888,5.744562646538029
0,0,4,0.0,5.477225575051661
0,0,5,0.2539682686328888,5.385164807134504
0,0,6,0.0,4.69041575982343
0,0,7,-0.2539682686328888,4.123105625617661
0,0,8,0.0,3.7416573867739413
0,0,9,0.0,3.605551275463989
0,0,10,0.0,3.7416573867739413
0,0,11,0.0,4.123105625617661
0,0,12,0.0,4.242640687119285
0,0,13,0.2539682686328888,3.605551275463989
0,0,14,0.0,3.1622776601683795
0,0,15,-0.2539682686328888,3.0
0,0,16,0.0,3.1622776601683795
0,0,17,0.2539682686328888,3.605551275463989
0,0,18,0.0,4.242640687119285
0,0,19,0.0,5.0
0,1,0,0.1269841343164444,7.14142842854285
0,1,1,0.190476194024086,6.48074069840786
0,1,2,0.0,5.916079783099616
0,1,3,-0.1269841343164444,5.477225575051661
0,1,4,0.2539682686328888,5.196152422706632
0,1,5,0.190476194024086,4.898979485566356
0,1,6,-0.2539682686328888,4.123105625617661
0,1,7,-0.1269841343164444,3.4641016151377544
0,1,8,0.1269841343164444,3.0
0,1,9,0.0634920671582222,2.8284271247461903
0,1,10,0.0,3.0
0,1,11,0.0634920671582222,3.4641016151377544
0,1,12,0.1269841343164444,4.123105625617661
0,1,13,0.2539682686328888,3.7416573867739413
0,1,14,0.2539682686328888,3.3166247903554
0,1,15,0.0634920671582222,3.1622776601683795
0,1,16,0.1269841343164444,3.3166247903554
0,1,17,0.2539682686328888,3.7416573867739413
0,1,18,0.0,4.358898943540674
0,1,19,-0.0634920671582222,5.0990195135927845
0,2,0,0.0,7.0710678118654755
0,2,1,0.0,6.4031242374328485
0,2,2,0.0,5.830951894845301
0,2,3,-0.2539682686328888,5.385164807134504
0,2,4,0.0,5.0990195135927845
0,2,5,0.1269841343164444,4.58257569495584
0,2,6,0.0,3.7416573867739413
0,2,7,0.1269841343164444,3.0
0,2,8,0.0,2.449489742783178
0,2,9,0.0,2.23606797749979
0,2,10,0.0,2.449489742783178
0,2,11,0.0,3.0
0,2,12,0.0,3.7416573867739413
0,2,13,-0.1269841343164444,4.123105625617661
0,2,14,0.0,3.7416573867739413
0,2,15,0.0,3.3166247903554
0,2,16,0.0,3.1622776601683795
0,2,17,0.1269841343164444,3.3166247903554
0,2,18,0.0,3.7416573867739413
0,2,19,-0.2539682686328888,4.358898943540674
0,3,0,-0.1269841343164444,6.557438524302
0,3,1,-0.1269841343164444,6.164414002968976
0,3,2,0.1269841343164444,5.916079783099616
0,3,3,-0.1269841343164444,5.477225575051661
0,3,4,-0.1269841343164444,5.196152422706632
0,3,5,0.190476194024086,4.47213595499958
0,3,6,0.1269841343164444,3.605551275463989
0,3,7,-0.0634920671582222,2.8284271247461903
0,3,8,-0.1269841343164444,2.23606797749979
0,3,9,0.1269841343164444,2.0
0,3,10,0.1269841343164444,2.23606797749979
0,3,11,-0.1269841343164444,2.8284271247461903
0,3,12,-0.1269841343164444,3.605551275463989
0,3,13,-0.190476194024086,3.7416573867739413
0,3,14,-0.1269841343164444,3.0
0,3,15,-0.190476194024086,2.449489742783178
0,3,16,-0.2539682686328888,2.23606797749979
0,3,17,0.0,2.449489742783178
0,3,18,-0.1269841343164444,3.0
0,3,19,-0.380952388048172,3.7416573867739413
0,4,0,0.0,6.164414002968976
0,4,1,-0.2539682686328888,5.744562646538029
0,4,2,0.0,5.477225575051661
0,4,3,0.0,5.385164807134504
0,4,4,0.0,5.477225575051661
0,4,5,0.2539682686328888,4.58257569495584
0,4,6,0.0,3.7416573867739413
0,4,7,-0.2539682686328888,3.0
0,4,8,0.0,2.449489742783178
0,4,9,0.2539682686328888,2.23606797749979
0,4,10,0.0,2.449489742783178
0,4,11,-0.2539682686328888,3.0
0,4,12,0.0,3.7416573867739413
0,4,13,0.0,3.3166247903554
0,4,14,0.0,2.449489742783178
0,4,15,0.0,1.7320508075688772
0,4,16,0.0,1.4142135623730951
0,4,17,0.2539682686328888,1.7320508075688772
0,4,18,0.0,2.449489742783178
0,4,19,-0.2539682686328888,3.3166247903554
0,5,0,0.0,5.916079783099616
0,5,1,-0.380952388048172,5.477225575051661
0,5,2,-0.2539682686328888,5.196152422706632
0,5,3,-0.190476194024086,5.0990195135927845
0,5,4,-0.1269841343164444,5.196152422706632
0,5,5,0.190476194024086,4.898979485566356
0,5,6,0.1269841343164444,4.123105625617661
0,5,7,0.0634920671582222,3.4641016151377544
0,5,8,0.1269841343164444,3.0
0,5,9,0.0,2.8284271247461903
0,5,10,-0.2539682686328888,3.0
0,5,11,-0.1269841343164444,3.4641016151377544
0,5,12,0.2539682686328888,4.123105625617661
0,5,13,0.1269841343164444,3.1622776601683795
0,5,14,0.1269841343164444,2.23606797749979
0,5,15,0.2539682686328888,1.4142135623730951
0,5,16,0.2539682686328888,1.0
0,5,17,0.380952388048172,1.4142135623730951
0,5,18,0.1269841343164444,2.23606797749979
0,5,19,-0.0634920671582222,3.1622776601683795
0,6,0,0.0,5.830951894845301
0,6,1,-0.2539682686328888,5.385164807134504
0,6,2,0.0,5.0990195135927845
0,6,3,0.0,5.0
0,6,4,0.0,5.0990195135927845
0,6,5,0.1269841343164444,5.385164807134504
0,6,6,0.0,4.69041575982343
0,6,7,0.1269841343164444,4.123105625617661
0,6,8,0.0,3.7416573867739413
0,6,9,-0.1269841343164444,3.605551275463989
0,6,10,0.0,3.7416573867739413
0,6,11,0.0,4.123105625617661
0,6,12,0.0,4.242640687119285
0,6,13,-0.1269841343164444,3.3166247903554
0,6,14,0.0,2.449489742783178
0,6,15,0.1269841343164444,1.7320508075688772
0,6,16,0.0,1.4142135623730951
0,6,17,0.1269841343164444,1.7320508075688772
0,6,18,0.0,2.449489742783178
0,6,19,0.0,3.3166247903554
0,7,0,0.1269841343164444,5.196152422706632
0,7,1,0.0634920671582222,4.69041575982343
0,7,2,0.1269841343164444,4.358898943540674
0,7,3,0.0634920671582222,4.242640687119285
0,7,4,0.2539682686328888,4.358898943540674
0,7,5,0.0634920671582222,4.69041575982343
0,7,6,-0.2539682686328888,5.196152422706632
0,7,7,0.0634920671582222,4.898979485566356
0,7,8,0.1269841343164444,4.58257569495584
